SL.   Gradients Vector from CNN--------------Gradients Vector from FiniteDifferencing
147.     3.63220325186146E-5                          3.6417535653754385E-5,  
148.     4.338178960051708E-6                          4.414246745909622E-6,  
149.     2.235052302468064E-5                          2.2515322939398175E-5,  
150.     1.2481019019432133E-5                          1.2496670365180762E-5,  
151.     3.5603471080513503E-5                          3.5715874702191286E-5,  
152.     2.9617035455509115E-5                          2.956745959181717E-5,  
153.     2.3896514618090684E-5                          2.382982700055436E-5,  
154.     3.3228967761324685E-5                          3.3362201889985954E-5,  
155.     3.703488385351094E-5                          3.707922857643098E-5,  
156.     4.4314342312676966E-5                          4.437561429426751E-5,  
157.     2.4326758295507336E-5                          2.460254222569347E-5,  
158.     7.1601728938297944E-6                          7.112088695748753E-6,  
159.     2.091519101510513E-6                          1.978417429882029E-6,  
160.     2.28414622953319E-5                          2.291500322826323E-5,  
161.     5.1049059415669574E-5                          5.107247957880645E-5,  
162.     1.528473587763656E-5                          1.5241141682054149E-5,  
163.     2.8260731619361303E-5                          2.8486102365832267E-5,  
164.     3.232907972342262E-5                          3.252953462151709E-5,  
165.     1.731995518953412E-5                          1.7266188478970435E-5,  
166.     9.24152978571492E-6                          9.394707234378075E-6,  
167.     2.796303554305624E-5                          2.8053115386228455E-5,  
168.     -3.6927013538599303E-6                          -3.7569947153315297E-6,  
169.     9.862022767550831E-6                          9.894307595459395E-6,  
170.     1.0765461883840688E-5                          1.0749179324420766E-5,  
171.     2.1163893705528636E-5                          2.1191937094044988E-5,  
172.     9.699323141396174E-6                          9.758860386455126E-6,  
173.     3.806305162381902E-5                          3.8256064982533644E-5,  
174.     2.715867439313135E-5                          2.723155034800584E-5,  
175.     1.425802538948631E-5                          1.4357404154452524E-5,  
176.     3.737279841467109E-5                          3.743005905221253E-5,  
177.     1.6833388339703632E-5                          1.6904255772942633E-5,  
178.     0.0                          0.0,  
179.     -1.8907393046906518E-6                          6.578071420904053E-5,  
180.     -3.337156066443777E-6                          -3.5016434196677437E-6,  
181.     5.307033852300974E-6                          5.346834086594754E-6,  
182.     -7.311151463089885E-7                          -7.260858581048524E-7,  
183.     2.428765824783048E-6                          2.4735768988648488E-6,  
184.     -1.4537079303149454E-5                          -1.4759304889366831E-5,  
185.     2.6130355694556025E-6                          2.6645352591003757E-6,  
186.     -3.998715189383982E-6                          -4.050093593832571E-6,  
187.     1.6531628991023198E-6                          1.7030821197749901E-6,  
188.     -1.6026435464661037E-5                          -1.6269208202857044E-5,  
189.     9.303160491789879E-6                          9.330314298949816E-6,  
190.     1.4346977169820286E-5                          1.4412915305683782E-5,  
191.     -4.979712739394054E-6                          -5.027089855502709E-6,  
192.     -5.748355479146278E-6                          -5.8619775700208265E-6,  
193.     -6.052711784710583E-6                          -6.1883831392606226E-6,  
194.     4.39376659878002E-6                          4.491962357633383E-6,  
195.     2.8525450031261E-6                          2.9243274468626623E-6,  
196.     5.2305670704211276E-6                          5.32018873400375E-6,  
197.     -4.3347400500078355E-6                          -4.389821839367869E-6,  
198.     -6.141469612785519E-6                          -6.2372329523441294E-6,  
199.     7.89325822222385E-6                          7.922551503725117E-6,  
200.     -2.5239511690405137E-6                          -2.5490720645393594E-6,  
201.     4.4753634890537675E-6                          4.46975789714088E-6,  
202.     -3.287060060211561E-6                          -3.326228181776969E-6,  
203.     5.699312320345501E-6                          5.81312775693732E-6,  
204.     2.0607978853009327E-6                          2.1116441928370477E-6,  
205.     2.5520482386170925E-6                          2.6068036618198676E-6,  
